TRANSACCION,REFERENCIA,DESCRIPCION,MONTO,
  02/10/2025   ,  VT252750161000420000006   ,  CASHBACK SALONES BAR   ,   + 364.51 DOP      ,   
  07/10/2025   ,  VT252800158000640000133   ,  CB SOMOS AMAZON   ,   + 591.54 DOP      ,   
  27/09/2025   ,  VT252700141000010004364   ,  PAGO APP MOVIL   ,   + 22754.94 DOP      ,   
  24/09/2025   ,  10000000960923998574830   ,  COMISION POR SOBREGIRO   ,   - 700 DOP      ,   
  17/09/2025   ,  VT252600158000810000398   ,  PROTECCION FINANCIERA   ,   - 285 DOP      ,   
  16/09/2025   ,  VT252590162000210000084   ,  CASHBACK SERVICIOS DEL   ,   + 21 DOP      ,   
  15/09/2025   ,  VT252580196000390000021   ,  CONS. ELECT. ALTICE   ,   - 420 DOP      ,   
  13/09/2025   ,  VT252560130000010003450   ,  PAGO APP MOVIL   ,   + 32719.83 DOP      ,   
  10/09/2025   ,  VT252530116020560000079   ,  TIDAL MALMO SE   ,   - 349 DOP      ,   
  05/09/2025   ,  VT252480163000410000006   ,  CASHBACK SALONES BAR   ,   + 80 DOP      ,   
  04/09/2025   ,  VT252470113030320000092   ,  FREDDY PELUQUERIA BI SANTO DOMINGO DO   ,   - 800 DOP      ,   
  04/09/2025   ,  VT252470113033830000165   ,  FARMAVALUE EL VERGEL SANTO DOMINGO DO   ,   - 4844.04 DOP      ,   
