TRANSACCION,REFERENCIA,DESCRIPCION,EXPENSES,INCOME,CURRENCY
  23/06/2024   ,  10000000960622998979680   ,  COMISION POR SOBREGIRO   ,700,   ,DOP
  19/06/2024   ,  VT241710113024710000092   ,  NICE TEA               SANTO DOMINGO DO   ,300,   ,DOP
  18/06/2024   ,  VT241700112025420000242   ,  GT FOOD SERVICE        SANTO DOMINGO DO   ,250,   ,DOP
  17/06/2024   ,  VT241690148019800000104   ,  TIDAL                  MALMO         SE   ,349,   ,DOP
  14/06/2024   ,  VT241660154000040000218   ,  PAGO IB   ,0,5502.18,DOP
  13/06/2024   ,  VT241650150001200000408   ,  PROT FINAN. + VIDA   ,285,   ,DOP
  11/06/2024   ,  VT241630157000510000044   ,  CASHBACK SALONES Y BAR   ,0,90,DOP
  11/06/2024   ,  VT241630157000330000040   ,  CASHBACK TUS SUSCRIPCI   ,0,132.96,DOP
  10/06/2024   ,  VT241620105023950000068   ,  FARMA EXTRA EL BRISAL  SANTO DOMINGO DO   ,1041.04,   ,DOP
  10/06/2024   ,  VT241620105022110000145   ,  FREDDY S PELUQUERIA BI SANTO DOMINGO DO   ,900,   ,DOP
  10/06/2024   ,  VT241620105022720000171   ,  POLLOS VICTORINA 27    SANTO DOMINGO DO   ,445,   ,DOP
  08/06/2024   ,  VT241600110024010000081   ,  MISE N PLACE PUCMM POS SANTO DOMINGO DO   ,1130,   ,DOP
  07/06/2024   ,  VT241590156000270000128   ,  CASHBACK SERVICIOS DEL   ,0,98.14,DOP
  07/06/2024   ,  VT241590111026560000175   ,  NICE TEA               SANTO DOMINGO DO   ,300,   ,DOP
  06/06/2024   ,  VT241580109012330000137   ,  EXPENDOMAX RD          SANTO DOMINGO DO   ,70,   ,DOP
  06/06/2024   ,  VT241580109022760000236   ,  MISE N PLACE PUCMM POS SANTO DOMINGO DO   ,300,   ,DOP
  06/06/2024   ,  VT241580146000380000029   ,  CONS. ELECT. EDEESTE   ,1962.82,   ,DOP
  05/06/2024   ,  VT241570110023370000209   ,  SM NACIONAL 27 DE FEB  SANTO DOMINGO DO   ,164.13,   ,DOP
  04/06/2024   ,  VT241560111023940000148   ,  SM NACIONAL 27 DE FEB  SANTO DOMINGO DO   ,754.28,   ,DOP
  03/06/2024   ,  VT241550106017210000195   ,  AXXON BELLA VISTA      SANTO DOMINGO DO   ,3002,   ,DOP
  03/06/2024   ,  VT241550149037890000139   ,  MINAS FOOD             SANTO DOMINGO DO   ,2118.1,   ,DOP
  01/06/2024   ,  VT241530141000320000045   ,  CASHBACK TUS SUSCRIPCI   ,0,132.72,DOP
  01/06/2024   ,  VT241530110019580000122   ,  MISE N PLACE PUCMM POS SANTO DOMINGO DO   ,390,   ,DOP
  31/05/2024   ,  VT241520112024210000106   ,  SM. BRAVO SAN VICENTE  SANTO DOMINGO DO   ,3285,   ,DOP
  31/05/2024   ,  VT241520112006780000149   ,  PEDIDOS YA RESTAURANTE SANTO DOMINGO DO   ,2216.8,   ,DOP
  29/05/2024   ,  VT241500112027940000026   ,  KFC CARRT MELLA        SANTO DOMINGO DO   ,900,   ,DOP
  29/05/2024   ,  VT241500112027280000028   ,  MISE N PLACE PUCMM POS SANTO DOMINGO DO   ,600,   ,DOP
  28/05/2024   ,  VT241490153000640000059   ,  CASHBACK SALONES Y BAR   ,0,90,DOP
  28/05/2024   ,  VT241490153000360000061   ,  CASHBACK TUS SUSCRIPCI   ,0,70.37,DOP
  28/05/2024   ,  VT241490111022930000243   ,  DOWNTOWN CENTER        SANTO DOMINGO DO   ,390,   ,DOP
  28/05/2024   ,  VT241490111026320000125   ,  STARBUCKS DTC          SANTO DOMINGO DO   ,281.6,   ,DOP
  27/05/2024   ,  VT241480106021130000076   ,  FREDDY S PELUQUERIA BI SANTO DOMINGO DO   ,900,   ,DOP
  27/05/2024   ,  VT241480106013350000169   ,  PEDIDOS YA RESTAURANTE SANTO DOMINGO DO   ,2240.8,   ,DOP
  27/05/2024   ,  VT241480205000030000642   ,  PAGO IB   ,0,66000,DOP
