TRANSACCION,REFERENCIA,DESCRIPCION,MONTO,
08/07/2024,VT241900109090720001922,SUPERM. NACIONAL 27 DE FE SANTO DOMINGO DO,- 1922.70,
08/07/2024,VT241900109097020001233,ESSO LA LIRA            SANTO DOMINGO DO,- 3233.70,
03/07/2024,VT241840105057020003584,FARMACIA CAROL NACO     SANTO DOMINGO DO,- 3584.84,
03/07/2024,VT241840105057020000267,FARMACIA CAROL NACO     SANTO DOMINGO DO,- 267.00,
03/07/2024,VT241840103037020002000,CREDITO POR PROMOCION,+ 2000.00,
24/06/2024,VT241750127067020003360,UEPAPAY - ECOMMERCE     SANTO DOMINGO DO,- 3360.00,
23/06/2024,VT241740125067020001929,SM BRAVO ENS. OZAMA     SANTO DOMINGO DO,- 1929.00,
22/06/2024,VT241730124067020001004,CASA BARISTA            SANTO DOMINGO DO,- 1004.80,
19/06/2024,VT241700124067020000747,SUPERM. NACIONAL 27 DE F SANTO DOMINGO DO,- 747.41,
19/06/2024,VT241700124067020000550,LITTLE CAESARS CHARLES  SANTO DOMINGO DO,- 550.00,
17/06/2024,VT241680118067020001054,LA CADENA CARR. MELLA   SANTO DOMINGO DO,- 1054.00,
